California 10D soiled Rh
WL(nm)	ρ(λ.8°.h)
2500	0.885798729
2495	0.904601653
2490	0.868168208
2485	0.892432937
2480	0.888140526
2475	0.890825908
2470	0.892608125
2465	0.889036914
2460	0.891376922
2455	0.893836532
2450	0.896398864
2445	0.900517348
2440	0.898986002
2435	0.901409224
2430	0.902367436
2425	0.902628829
2420	0.904221787
2415	0.906436521
2410	0.90782458
2405	0.90739015
2400	0.908810705
2395	0.908570951
2390	0.909753479
2385	0.910902981
2380	0.911644488
2375	0.911103287
2370	0.910600182
2365	0.91183595
2360	0.910967447
2355	0.912303514
2350	0.912272724
2345	0.912103789
2340	0.912035108
2335	0.91093169
2330	0.910430152
2325	0.910511269
2320	0.909344427
2315	0.909619466
2310	0.907682998
2305	0.907888509
2300	0.906583408
2295	0.906638518
2290	0.90568528
2285	0.904926384
2280	0.904045353
2275	0.903253922
2270	0.902733227
2265	0.901865683
2260	0.901099463
2255	0.90065939
2250	0.897849134
2245	0.897457598
2240	0.897803389
2235	0.897516041
2230	0.8977363
2225	0.897759817
2220	0.898074427
2215	0.898518822
2210	0.899920085
2205	0.901367115
2200	0.90352836
2195	0.907011924
2190	0.910096036
2185	0.913584154
2180	0.916382231
2175	0.919448771
2170	0.921918611
2165	0.924410076
2160	0.926524679
2155	0.928354955
2150	0.929892869
2145	0.931209265
2140	0.932385347
2135	0.933311014
2130	0.933774017
2125	0.934249275
2120	0.934226014
2115	0.934452936
2110	0.934488622
2105	0.934158763
2100	0.934058788
2095	0.933931714
2090	0.933918233
2085	0.934123708
2080	0.933910354
2075	0.933673185
2070	0.933519329
2065	0.933776319
2060	0.93342728
2055	0.933568446
2050	0.933423773
2045	0.93338611
2040	0.933204304
2035	0.932802734
2030	0.932045328
2025	0.932118992
2020	0.931956642
2015	0.931715043
2010	0.931226534
2005	0.931198776
2000	0.930845303
1995	0.930243079
1990	0.930343877
1985	0.929641315
1980	0.929649436
1975	0.929534936
1970	0.929398364
1965	0.92905036
1960	0.929277368
1955	0.929110797
1950	0.929500163
1945	0.928994739
1940	0.929333198
1935	0.929762033
1930	0.929730621
1925	0.930140094
1920	0.930574625
1915	0.930922722
1910	0.931125488
1905	0.931826562
1900	0.932244107
1895	0.932712312
1890	0.932424831
1885	0.932585135
1880	0.93266428
1875	0.933529057
1870	0.933749855
1865	0.93349444
1860	0.933547956
1855	0.933884283
1850	0.933889835
1845	0.934227277
1840	0.934230988
1835	0.934690394
1830	0.934716375
1825	0.934284317
1820	0.934243802
1815	0.934064463
1810	0.933996146
1805	0.93404883
1800	0.934069101
1795	0.933942166
1790	0.93407173
1785	0.933868069
1780	0.934191735
1775	0.934446674
1770	0.934852808
1765	0.934694263
1760	0.935034158
1755	0.935392036
1750	0.935785858
1745	0.935510293
1740	0.935798121
1735	0.935910594
1730	0.936395701
1725	0.936441728
1720	0.936761056
1715	0.936683136
1710	0.937261765
1705	0.937096175
1700	0.937075129
1695	0.937285625
1690	0.937268568
1685	0.937220536
1680	0.937107228
1675	0.937242638
1670	0.937107973
1665	0.936868778
1660	0.936849655
1655	0.937181903
1650	0.937144175
1645	0.93695645
1640	0.936939611
1635	0.936608506
1630	0.936718654
1625	0.936424158
1620	0.936546259
1615	0.936284542
1610	0.936205253
1605	0.935989735
1600	0.936211649
1595	0.936207502
1590	0.935879653
1585	0.935849841
1580	0.935760835
1575	0.93576775
1570	0.935813597
1565	0.935799428
1560	0.935461618
1555	0.935305718
1550	0.935530097
1545	0.935203825
1540	0.93468877
1535	0.934838684
1530	0.934726973
1525	0.934553081
1520	0.934162034
1515	0.934008525
1510	0.933997891
1505	0.933330278
1500	0.93333038
1495	0.932753252
1490	0.932540927
1485	0.932418118
1480	0.931897674
1475	0.931300288
1470	0.930794872
1465	0.930711118
1460	0.930078924
1455	0.929732643
1450	0.929478444
1445	0.929058666
1440	0.928192419
1435	0.927809164
1430	0.927321013
1425	0.926559147
1420	0.926115624
1415	0.926105982
1410	0.925943295
1405	0.925915321
1400	0.926515587
1395	0.926823402
1390	0.926503457
1385	0.927286512
1380	0.927624645
1375	0.92713524
1370	0.927212331
1365	0.927096144
1360	0.927072353
1355	0.926669703
1350	0.926023515
1345	0.925729182
1340	0.925561256
1335	0.92499474
1330	0.924875834
1325	0.924759213
1320	0.924578231
1315	0.924217403
1310	0.92419738
1305	0.923966223
1300	0.923187632
1295	0.92300805
1290	0.923032562
1285	0.922905182
1280	0.922329561
1275	0.921912164
1270	0.922047633
1265	0.921799981
1260	0.921682588
1255	0.921467836
1250	0.92094552
1245	0.920905685
1240	0.920878339
1235	0.920909232
1230	0.920282899
1225	0.920040142
1220	0.919938423
1215	0.919870989
1210	0.919719775
1205	0.919359196
1200	0.91902628
1195	0.918754277
1190	0.918635098
1185	0.91888155
1180	0.91849927
1175	0.918086687
1170	0.918183228
1165	0.918009941
1160	0.917680799
1155	0.917849056
1150	0.917646225
1145	0.917595821
1140	0.917288451
1135	0.91755321
1130	0.917062699
1125	0.91669222
1120	0.916579495
1115	0.916636598
